female,moth_birthyr,fath_birthyr,married,age,employed,degree,asset_inc,labor_inc,total_wealth,total_income
0,1981.0,1977.0,0,20.0,7,0,0,9599,0,9599
1,1981.0,1977.0,0,18.0,7,0,0,4799,0,4799
1,1981.0,1977.0,0,15.0,0,0,0,4799,0,4799
1,1976.0,,0,29.0,1,0,0,12718,0,12718
1,,,0,56.0,1,0,0,14400,0,14400
0,,,0,52.0,1,0,0,14400,0,14400
0,1980.0,1975.0,0,21.0,3,0,0,18000,0,18000
1,1979.0,1977.0,0,20.0,6,0,0,14400,0,14400
0,,1981.0,0,20.0,1,0,0,14400,0,14400
1,1981.0,1973.0,0,18.0,7,0,0,5000,0,5000
0,1981.0,1973.0,0,17.0,7,0,0,1500,0,1500
0,1975.0,1972.0,0,28.0,1,0,0,3400,0,3400
1,,,0,31.0,1,0,0,50000,0,50000
0,,,0,49.0,9,0,0,51200,0,51200
0,,,0,80.0,0,0,0,61440,0,61440
1,,,0,36.0,1,2,0,60000,0,60000
0,1958.0,1953.0,0,24.0,1,0,0,13125,0,13125
1,1958.0,1951.0,0,35.0,1,0,0,54080,0,54080
1,1983.0,1983.0,0,19.0,1,0,0,14400,0,14400
1,,,0,65.0,1,0,0,16085,0,16085
1,1971.0,,0,27.0,1,0,0,5000,0,5000
1,,,0,36.0,1,0,0,18400,0,18400
1,,,1,32.0,9,0,0,14400,0,14400
1,,,0,42.0,1,0,0,51324,0,51324
0,1965.0,1961.0,0,24.0,3,0,0,4000,0,4000
0,1973.0,1972.0,0,17.0,7,0,0,1584,0,1584
1,1977.0,1975.0,0,22.0,1,0,0,15680,0,15680
1,1984.0,1983.0,0,17.0,1,0,0,14400,0,14400
0,1970.0,1971.0,0,26.0,1,0,0,45760,0,45760
0,,,0,35.0,1,0,0,87000,0,87000
1,1973.0,1971.0,0,20.0,1,0,0,22400,0,22400
1,1979.0,1976.0,0,18.0,1,0,0,14400,0,14400
1,1968.0,1966.0,0,20.0,1,0,0,14400,0,14400
1,1978.0,1977.0,0,18.0,7,0,0,5000,0,5000
1,1942.0,1940.0,1,60.0,9,0,0,14400,0,14400
0,1981.0,1975.0,0,23.0,3,2,0,5000,0,5000
1,1981.0,1975.0,0,17.0,1,0,0,5000,0,5000
0,1983.0,1979.0,0,17.0,1,0,0,12000,0,12000
0,,,1,52.0,9,0,0,14400,0,14400
1,1971.0,1969.0,0,19.0,7,0,0,3600,0,3600
1,1976.0,1975.0,0,16.0,7,0,0,2308,0,2308
1,1969.0,1966.0,0,20.0,7,0,0,2750,0,2750
1,1971.0,1970.0,0,19.0,7,0,0,3600,0,3600
0,,,0,19.0,7,0,0,2700,0,2700
0,1982.0,,0,21.0,1,0,0,35360,0,35360
1,,,0,66.0,1,0,0,60000,0,60000
0,1980.0,1978.0,0,13.0,0,0,0,800,0,800
1,1977.0,1974.0,0,16.0,2,0,0,4000,0,4000
0,1943.0,1940.0,0,56.0,1,0,0,75000,0,75000
1,,,0,22.0,1,0,0,40000,0,40000
1,,,0,21.0,7,0,0,18000,0,18000
0,,,1,28.0,1,0,0,14400,0,14400
0,1961.0,1961.0,0,22.0,7,0,0,10000,0,10000
1,1965.0,1969.0,0,22.0,3,2,0,7000,0,7000
1,1966.0,1968.0,0,18.0,1,0,0,17000,0,17000
1,1977.0,1978.0,0,21.0,1,0,0,10200,0,10200
0,1977.0,1978.0,0,16.0,1,0,0,8500,0,8500
0,1973.0,1971.0,0,24.0,1,1,0,35000,0,35000
0,1973.0,1962.0,0,16.0,1,0,0,10000,0,10000
0,1957.0,1958.0,1,34.0,1,0,0,60000,0,60000
1,1981.0,,0,19.0,9,0,0,14400,0,14400
1,1981.0,,0,17.0,1,0,0,10368,0,10368
0,,1982.0,0,19.0,7,0,0,720,0,720
0,1954.0,1951.0,0,35.0,3,0,0,2000,0,2000
0,1961.0,1960.0,0,27.0,1,2,0,65000,0,65000
0,1961.0,1960.0,0,25.0,1,2,0,75000,0,75000
1,,,0,18.0,7,0,0,1800,0,1800
0,1962.0,1956.0,0,28.0,1,2,0,29308,0,29308
1,1974.0,1976.0,0,18.0,7,0,0,4000,0,4000
1,1974.0,1976.0,0,16.0,7,0,0,2500,0,2500
0,,1980.0,0,17.0,1,0,0,4500,0,4500
0,1957.0,1952.0,0,26.0,1,2,0,35000,0,35000
1,1986.0,,0,19.0,7,0,0,3000,0,3000
0,1969.0,1968.0,0,21.0,7,1,0,15000,0,15000
1,,,0,76.0,1,0,0,55000,0,55000
1,1975.0,1955.0,0,22.0,1,0,0,7201,0,7201
1,,,0,20.0,1,0,0,3780,0,3780
0,1979.0,1979.0,0,21.0,1,0,0,15000,0,15000
1,1972.0,1972.0,0,21.0,7,0,0,8800,0,8800
0,1972.0,1972.0,0,20.0,7,0,0,3917,0,3917
0,1975.0,1976.0,0,18.0,7,0,0,10271,0,10271
0,1973.0,1973.0,0,21.0,1,0,0,20000,0,20000
0,1964.0,,1,38.0,1,0,0,60000,0,60000
1,,,1,28.0,1,0,0,40554,0,40554
0,1996.0,1992.0,0,4.0,0,0,0,48004,0,48004
1,,,0,28.0,1,0,0,14400,0,14400
1,,,0,47.0,9,0,0,14400,0,14400
1,1977.0,,0,21.0,1,0,0,40000,0,40000
0,1980.0,1978.0,0,23.0,1,0,0,8000,0,8000
0,1969.0,1969.0,0,27.0,1,0,0,80000,0,80000
0,1968.0,1967.0,0,25.0,1,2,0,40000,0,40000
1,1964.0,1954.0,0,23.0,1,0,0,30000,0,30000
1,1972.0,1973.0,0,22.0,7,0,0,4800,0,4800
1,,,0,43.0,1,0,0,14400,0,14400
0,,,1,31.0,1,0,0,33280,0,33280
1,,,0,19.0,6,0,0,1000,0,1000
1,1975.0,1971.0,0,18.0,3,0,0,1200,0,1200
0,,,1,25.0,1,0,0,46800,0,46800
